Date,Open,High,Low,Close,Adj Close,Volume
2015-07-17,18.150499,18.338301,17.831200,18.044100,14.539964,9067145
2015-07-20,17.925100,17.981501,17.624599,17.693501,14.257451,7233719
2015-07-21,17.655899,17.699699,17.355400,17.468100,14.075826,9985375
2015-07-22,17.330299,17.430500,17.111200,17.248899,13.899193,9302093
2015-07-23,17.242701,17.367901,16.528900,16.585300,13.364462,22519881
2015-07-24,16.591499,16.741800,16.172100,16.735500,13.485486,19877154
2015-07-27,16.716700,17.067400,16.654100,16.967199,13.672194,15585797
2015-07-28,17.129999,17.336599,16.672899,17.142500,13.813456,18542214
2015-07-29,16.973400,17.455500,16.973400,17.286501,13.929485,12019090
2015-07-30,17.405500,17.405500,16.816900,16.841999,13.571306,13823287
2015-07-31,16.960899,17.255199,16.917101,17.205099,13.863892,11717219
2015-08-03,16.616600,16.710501,16.341101,16.472601,13.273643,27592588
2015-08-04,16.547701,16.579000,16.153299,16.309799,13.157619,19094366
2015-08-05,16.403700,16.535200,16.028000,16.240900,13.102039,15163338
2015-08-06,16.059299,16.497601,15.978000,16.309799,13.157619,12459917
2015-08-07,16.096901,16.328600,15.752600,15.852700,12.788857,16643623
2015-08-10,15.959200,16.122000,15.884100,16.059299,12.955528,9303690
2015-08-11,16.090700,16.328600,15.727500,16.328600,13.172782,13504805
2015-08-12,15.777600,15.827700,15.464600,15.583500,12.571689,23441785
2015-08-13,15.533400,15.583500,15.164000,15.214100,12.273681,17651616
2015-08-14,15.226700,15.427000,15.070100,15.132700,12.208014,18397668
2015-08-17,15.063900,15.314300,14.825900,14.876000,12.000930,8763996
2015-08-18,14.838500,15.520900,14.613100,15.176600,12.243434,29771009
2015-08-19,14.926100,14.944900,14.525400,14.719500,11.874671,19612019
2015-08-20,14.619300,14.769600,14.450300,14.638100,11.809008,21348175
2015-08-21,14.519200,14.769600,14.337600,14.475300,11.677670,26272343
2015-08-24,13.868000,14.644400,13.617600,14.412700,11.627168,31082949
2015-08-25,14.738300,14.819700,14.156000,14.156000,11.420085,24070283
2015-08-26,14.494100,15.120200,14.262500,15.076400,12.162601,32035679
2015-08-27,15.276700,15.683700,15.101400,15.502100,12.506022,27223795
2015-08-28,15.164000,15.552200,14.894800,15.007500,12.107011,22152685
2015-08-31,14.512900,14.625600,14.312500,14.431500,11.642339,35667073
2015-09-01,13.961900,14.237400,13.899300,14.018300,11.308997,24256517
2015-09-02,14.156000,14.300000,13.905600,14.262500,11.521593,18431528
2015-09-03,14.387700,14.619300,14.012000,14.619300,11.809822,25747503
2015-09-04,14.224900,14.425200,13.999500,13.999500,11.309134,20542548
2015-09-08,14.419000,14.419000,14.212400,14.325100,11.572165,16668539
2015-09-09,14.475300,14.869800,14.462800,14.494100,11.708683,24092804
2015-09-10,14.080900,14.450300,13.880500,14.181100,11.455837,23877501
2015-09-11,14.105900,14.174800,13.955700,14.024500,11.329332,15377203
2015-09-14,14.062100,14.713300,13.961900,14.650600,11.835108,18411084
